Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"43370","1","2019-01-01 10:06:03","2","40","<classification>","0",""
"43381","1","2019-01-01 19:16:04","1","409","<machine-learning><homework>","0",""
"43393","1","2019-01-02 09:20:02","1","28","<gaussian>","0",""
"43396","1","2019-01-02 12:54:11","1","34","<deep-learning><nlp><lstm><text-generation>","0",""
"43400","1","2019-01-02 17:13:28","1","237","<predictive-modeling><labels>","0",""
"43401","1","2019-01-02 17:41:42","2","153","<feature-selection><svm>","0",""
"43438","1","2019-01-03 16:32:26","2","389","<machine-learning><scikit-learn><predictive-modeling><overfitting>","0",""
"43451","1","2019-01-03 21:07:05","2","936","<pytorch><gpu><google><colab>","0",""
"43467","1","2019-01-04 07:15:05","1","105","<neural-network><logistic-regression><rnn><sequential-pattern-mining><mini-batch-gradient-descent>","0",""
"43494","1","2019-01-04 18:31:33","2","175","<feature-selection><unsupervised-learning><pca>","0",""
"43497","1","2019-01-04 20:39:46","2","662","<machine-learning><recommender-system><regularization><matrix-factorisation>","0",""
"43512","1","2019-01-05 10:22:34","2","852","<keras><tensorflow><rnn><training><gan>","0",""
"43519","1","2019-01-05 14:25:10","1","74","<neural-network><deep-learning><time-series><anomaly-detection>","0",""
"43530","1","2019-01-05 16:54:16","1","661","<machine-learning><data-mining><feature-selection><preprocessing><weka>","0",""
"43538","1","2019-01-05 21:40:44","1","42","<machine-learning><time-series><machine-learning-model>","0",""
"43540","1","2019-01-06 00:35:24","1","366","<machine-learning><numpy><backpropagation><implementation>","0",""
"43549","1","2019-01-06 07:52:27","2","6152","<nlp>","0",""
"43553","1","2019-01-06 10:19:18","2","626","<machine-learning><time-series><java>","0",""
"43565","1","2019-01-06 14:09:21","1","200","<data-mining><text-mining><ranking>","0",""
"43610","1","2019-01-07 10:30:25","1","57","<machine-learning><python>","0",""
"43633","1","2019-01-07 17:13:10","1","36","<machine-learning><deep-learning><multiclass-classification><data-science-model><object-detection>","0",""
"43635","1","2019-01-07 19:02:57","3","695","<ocr>","0",""
"43658","1","2019-01-08 08:47:27","2","964","<learning>","0",""
"43676","1","2019-01-08 14:43:36","1","47","<data-science-model><class-imbalance><smote>","0",""
"43690","1","2019-01-08 21:52:33","1","85","<cnn><cross-validation><training><loss-function>","0",""
"43734","1","2019-01-09 18:17:55","1","36","<data-mining><association-rules><market-basket-analysis>","0",""
"43744","1","2019-01-09 20:40:31","1","26","<machine-learning-model><representation>","0",""
"43829","1","2019-01-11 09:26:50","1","41","<time-series><forecast><estimators>","0",""
"43899","1","2019-01-13 00:47:52","1","120","<deep-learning><keras><gradient-descent><mathematics>","0",""
"43935","1","2019-01-13 21:08:07","1","34","<predictive-modeling><cnn><parameter-estimation>","0",""
"43966","1","2019-01-14 12:55:14","1","93","<machine-learning><deep-learning><xgboost>","0",""
"44057","1","2019-01-15 18:41:32","1","624","<python><time-series><pandas>","0",""
"44061","1","2019-01-15 23:24:10","1","68","<predictive-modeling><data><anomaly-detection>","0",""
"44070","1","2019-01-16 05:05:29","2","548","<machine-learning><regularization><matrix-factorisation><embeddings>","0",""
"44103","1","2019-01-16 17:57:37","1","226","<machine-learning><bigdata><image-classification><training><image-recognition>","0",""
"44148","1","2019-01-17 14:11:22","1","123","<deep-learning><reinforcement-learning>","0",""
"44151","1","2019-01-17 14:58:45","1","157","<classification><text-mining><word2vec><gensim>","0",""
"44152","1","2019-01-17 15:36:53","1","588","<machine-learning><optimization>","0",""
"44156","1","2019-01-17 16:58:48","1","50","<machine-learning><deep-learning><scikit-learn><data>","0",""
"44163","1","2019-01-17 19:26:03","1","83","<image-classification><prediction><convolutional-neural-network>","0",""
"44171","1","2019-01-18 01:59:16","1","216","<image-classification><image-recognition><reference-request>","0",""
"44190","1","2019-01-18 10:34:11","1","217","<python><parsing><regex><tokenization>","0",""
"44195","1","2019-01-18 11:19:02","1","55","<machine-learning><time-series><predictive-modeling><preprocessing><forecast>","0",""
"44271","1","2019-01-20 09:53:07","1","20","<yolo>","0",""
"44272","1","2019-01-20 09:56:13","1","37","<time-series><pca>","0",""
"44313","1","2019-01-21 04:32:05","2","109","<python><data><bigdata><bayesian><pymc3>","0",""
"44322","1","2019-01-21 10:33:13","1","140","<machine-learning><predictive-modeling><lstm><recommender-system><nlp>","0",""
"44323","1","2019-01-21 11:17:17","2","124","<neural-network><activation-function>","0",""
"44369","1","2019-01-22 10:36:39","1","41","<reinforcement-learning><q-learning><dqn><deep-learning>","0",""
"44419","1","2019-01-23 09:21:13","1","27","<machine-learning><data-mining>","0",""
